tweet_text,username,mentions,date,image,link,quote,reply
nice,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ya_boi_elysium,2019-09-17 11:29:00,False,https://web.archive.org/web/20190917185159/https://twitter.com/nekrovevo/status/1174027520359854081,False,True
bet,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,HyenaVibes,2019-09-17 11:28:00,False,https://web.archive.org/web/20190917185214/https://twitter.com/nekrovevo/status/1174027482426560514,False,True
whore,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ya_boi_elysium,2019-09-17 11:26:00,False,https://web.archive.org/web/20190917185510/https://twitter.com/nekrovevo/status/1174026962441916416,False,True
what does tech mean?,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,SkyeHuskyFluff,2019-09-17 10:52:00,False,https://web.archive.org/web/20190917190225/https://twitter.com/nekrovevo/status/1174018189937692672,True,False
i milly rock on every cock,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 11:08:00,False,https://web.archive.org/web/20190917190650/https://twitter.com/nekrovevo/status/1174022291430068224,False,False
"fine, might consider dropping the h e a t",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,colliepuppy,2019-09-17 11:12:00,False,https://web.archive.org/web/20190917191145/https://twitter.com/nekrovevo/status/1174023450123362304,False,True
@Twitter @TwitterSupport please take action on this disgusting act. I feel geuinienly harassed by @HyenaVibes and I wouldlike action to be taken.,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 11:25:00,True,https://web.archive.org/web/20190917191655/https://twitter.com/nekrovevo/status/1174026517870858240,False,False
bubba would not appreciate this,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,HyenaVibes,2019-09-17 11:21:00,False,https://web.archive.org/web/20190917192310/https://twitter.com/nekrovevo/status/1174025693794930688,False,True
excuse me im reporting this,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,HyenaVibes,2019-09-17 11:25:00,False,https://web.archive.org/web/20190917192639/https://twitter.com/nekrovevo/status/1174026696455946240,False,True
im too lazy to change it,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,SakkiiJay,2019-09-17 10:21:00,False,https://web.archive.org/web/20190917194753/https://twitter.com/nekrovevo/status/1174010600768196608,False,True
{Insert quality content and a good tweet here},🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 10:56:00,False,https://web.archive.org/web/20190917195431/https://twitter.com/nekrovevo/status/1174019336387710976,False,False
